player_id,full_name,country_name,date_of_birth,birth_place,primary_role,batting_style,bowling_style
59,aaftab limdawala,Malawi,,,,Right Handed Bat,Right-arm medium
60,blessings pondani,Malawi,"April 17, 2002 (23 years)",,,Right Handed Bat,Right-arm fast-medium
61,bright balala,Malawi,,,,Left Handed Bat,
62,daniel jakiel,Zimbabwe,"November 14, 1990 (35 years)","Mabvuku, Harare",,Right Handed Bat,Right-arm fast-medium
63,donnex kansonkho,Malawi,"December 06, 1998 (27 years)",,,Left Handed Bat,Right-arm medium
64,gift kansonkho,Malawi,"May 20, 1991 (34 years)",,,Right Handed Bat,Right-arm medium
65,kelvin thuchila,Malawi,,,,Left Handed Bat,
66,mike choamba,Malawi,"July 10, 2004 (21 years)",,,Right Handed Bat,Right-arm offbreak
67,sami sohail,Malawi,"January 29, 2002 (24 years)",,,Right Handed Bat,Right-arm medium
68,suhail zahid vayani,Malawi,"February 27, 2008 (18 years)",,,Right Handed Bat,Right-arm offbreak
69,trust makaya,Malawi,,,,Right Handed Bat,Right-arm medium
70,lalji hirani,Unknown,,,,,
71,dhrumit mehta,Tanzania,"April 21, 2003 (22 years)",,,Right Handed Bat,Right-arm offbreak
72,ivan selemani,Tanzania,"June 20, 2000 (25 years)",Mvomero,,Right Handed Bat,Right-arm offbreak
73,ajith augastin,Tanzania,"November 25, 1995 (30 years)",,,Left Handed Bat,Right-arm fast-medium
74,arun yadav,Tanzania,"February 05, 1992 (34 years)",,,Right Handed Bat,Right-arm medium
75,mukesh suthar,Tanzania,"September 27, 1997 (28 years)",,,Right Handed Bat,
76,kassim nassoro,Tanzania,"May 13, 1988 (37 years)","Dar es Salaam, Tanzania",,Right Handed Bat,Right-arm offbreak
77,omary kitunda,Tanzania,"June 28, 1999 (26 years)",Ilala,,Right Handed Bat,
78,ally kimote,Tanzania,"May 26, 1992 (33 years)",Tanzania,,Right Handed Bat,Right-arm medium
79,khalidy juma,Tanzania,"December 07, 2008 (17 years)",,,Right Handed Bat,Right-arm medium
80,laksh bakrania,Tanzania,"September 29, 2007 (18 years)",,,Left Handed Bat,Left-arm orthodox
81,yalinde nkanya,Tanzania,"June 22, 2003 (22 years)",,,Right Handed Bat,Left-arm orthodox
82,jamie essex,Saint Helena,"June 21, 1994 (31 years)",,,Right Handed Bat,Right-arm offbreak
83,delroy leo,Saint Helena,"June 19, 1989 (36 years)",,,Left Handed Bat,
84,jordi henry,St Helena,"February 16, 1999 (27 years)",,,Right Handed Bat,
85,andrew yon,St Helena,"October 13, 1996 (29 years)",,,Right Handed Bat,
86,joey thomas,Saint Helena,"November 01, 2003 (22 years)",,,Right Handed Bat,Right-arm fast-medium
87,aiden leo,St Helena,"February 01, 2000 (26 years)",,,Right Handed Bat,Right-arm medium
88,rhys francis,St Helena,"June 02, 2000 (25 years)",,,Right Handed Bat,
89,cliff richards,St Helena,"April 02, 1991 (35 years)",,,Right Handed Bat,Right-arm medium
90,dane leo,Saint Helena,"April 26, 1994 (31 years)",,,Right Handed Bat,Right-arm fast-medium
91,barry stroud,St Helena,"February 28, 1990 (36 years)",,,Right Handed Bat,Right-arm fast-medium
92,jordan yon,St Helena,"April 05, 1997 (28 years)",,,Right Handed Bat,Right-arm fast-medium
93,manikandan mariyappan,Seychelles,"July 31, 1996 (29 years)",,,Right Handed Bat,
94,manisankar viswanathan,Seychelles,"May 14, 1996 (29 years)",,,Right Handed Bat,
95,nagarajan gnanapragasam,Seychelles,"November 29, 1985 (40 years)",,,Right Handed Bat,Right-arm medium
96,philip yevugah,Ghana,"November 24, 1999 (26 years)",,,Right Handed Bat,
97,devender singh malik,Ghana,"October 09, 1990 (35 years)",,,Right Handed Bat,
98,shijo devasia,Ghana,"May 23, 1983 (42 years)",,,Right Handed Bat,Right-arm legbreak
99,kazim somani,Malawi,"October 14, 2005 (20 years)",,,Right Handed Bat,Right-arm medium
100,suhail vayani,Unknown,,,,,
